39.45048916,-89.4758291,CIC-T321SS_Secondary,409.87,
40.72976888,-81.52696337,OH3P-2238167-388817-2238092-388602,406.108,ABC
40.72985477,-81.52852817,T321SS_Secondary,409.85,
40.72985477,-81.52852817,T322SS_Secondary,409.8501,
40.72986607,-81.52741976,OH3P-2238040-388851-2237978-388628,406.107,ABC
40.72995899,-81.52785611,OH3P-2237919-388883-2237869-388657,406.106,ABC
40.73005309,-81.52829804,OH3P-2237796-388916-2237760-388687,406.105,ABC
40.73180104,-81.52621739,OH3P-2238365-389559-2238591-389534,406.101,ABC
40.7321372,-81.52609367,OH3P-2238398-389682-2238620-389643,406.102,ABC
40.73246912,-81.5259715,OH3P-2238431-389803-2238649-389751,406.103,ABC
40.73281627,-81.52584373,OH3P-2238465-389930-2238675-389865,406.104,ABC
40.75660061,-81.522985,OH3P-2239160-398604-2239169-398407,406.96,ABC
40.75660598,-81.52361572,OH3P-2238985-398604-2238991-398395,406.95,ABC
40.75661111,-81.52421877,OH3P-2238818-398604-2238818-398399,406.94,ABC
40.75661631,-81.5248295,OH3P-2238649-398604-2238657-398383,406.93,ABC
40.75668267,-81.52613672,TMS-2238286-398624-2297774-428573,413.1016,ABC
40.75669089,-81.52710554,TMS-2238018-398624-2204144-412689,413.1,ABC
40.75716513,-81.52985442,TMS-2237255-398788-2237971-389495,413.101,ABC
40.75769139,-81.52129285,OH3P-2239624-399006-2239839-399007,406.97,ABC
40.75777211,-81.53035619,TMS-2237113-399008-2222686-417949,413.1013,ABC
40.75815577,-81.52128599,OH3P-2239624-399175-2239831-399184,406.98,ABC
40.7586143,-81.52127923,OH3P-2239624-399342-2239843-399341,406.99,ABC
40.75909388,-81.52127215,OH3P-2239624-399517-2239839-399518,406.1,ABC
40.7592341,-81.52825138,OH3P-2237690-399547-2237687-399765,406.89,ABC
40.75923927,-81.52886214,OH3P-2237521-399547-2237522-399753,406.9,ABC
40.75924438,-81.52946521,OH3P-2237354-399547-2237353-399761,406.91,ABC
40.75924971,-81.53009596,OH3P-2237179-399547-2237180-399769,406.92,ABC
40.7593405,-81.53106373,T301SS_Secondary,409.93,
40.7593405,-81.53106373,T302SS_Secondary,409.9301,
40.7593405,-81.53106373,T303SS_Secondary,409.9302,
40.77603247,-81.39892969,OH3P-2273436-406092-2273446-406156,406.11108,ABC
40.77616738,-81.40080524,OH1P-2272916-406134-2272917-406174,404.3607,C
40.77616927,-81.40197956,OH1P-2272590-406131-2272588-406170,404.361,A
40.77622738,-81.39922878,OH3P-2273352-406162-2273446-406156,406.11106,ABC
40.77622829,-81.399418,OH3P-2273299-406161-2273253-406161,406.11109,ABC
40.77622915,-81.39958486,OH3P-2273253-406161-2272917-406174,406.1111,ABC
40.77623426,-81.4029962,OH1P-2272309-406151-2272306-406190,404.3612,A
40.77624718,-81.40558881,OH3P-2271590-406147-2271601-406211,406.11105,ABC
40.77627176,-81.40402964,OH1P-2272022-406161-2272023-406200,404.3614,B
40.77627615,-81.40198751,OH3P-2272588-406170-2272306-406190,406.11112,ABC
40.7762771,-81.40079931,OH3P-2272917-406174-2272588-406170,406.11111,ABC
40.77631718,-81.40505727,OH1P-2271737-406174-2271740-406214,404.3615,C
40.77633887,-81.39957893,OH1P-2273254-406201-2273253-406161,404.3606,C
40.77634113,-81.40300415,OH3P-2272306-406190-2272023-406200,406.11113,ABC
40.77637523,-81.39889244,OH3P-2273444-406217-2273446-406156,406.11107,ABC
40.77637849,-81.40402306,OH3P-2272023-406200-2271740-406214,406.11114,ABC
40.77638397,-81.40080726,OH1P-2272914-406213-2272917-406174,404.3608,A
40.77638586,-81.40198158,OH1P-2272589-406210-2272588-406170,404.3609,B
40.77641567,-81.39958113,OH1P-2273253-406229-2273267-406313,404.36,C
40.77642673,-81.40504732,OH3P-2271740-406214-2271699-406217,406.11115,ABC
40.77643572,-81.40538172,OH3P-2271647-406216-2271601-406211,406.11104,ABC
40.77644089,-81.40054611,OHSECSRV-2272986-406235-2272942-406282,410.1721,ABC
40.77644137,-81.40581524,OH3P-2271527-406217-2271601-406211,406.11102,ABC
40.77645085,-81.40299822,OH1P-2272307-406230-2272306-406190,404.3611,C
40.77646267,-81.40198379,OH1P-2272588-406238-2272591-406331,404.362,B
40.77646937,-81.39942795,OHSECSRV-2273296-406249-2273276-406228,410.1615,ABC
40.77646937,-81.39942795,OHSECSRV-2273296-406249-2273320-406227,410.1613,ABC
40.77646937,-81.39942795,OHSECSRV-2273296-406249-2273323-406269,410.1612,ABC
40.77646937,-81.39942795,OHSECSRV-2273296-406249-2273366-406225,410.1614,ABC
40.77647716,-81.40401732,OH1P-2272025-406236-2272023-406200,404.3613,A
40.77651906,-81.39889124,OH3P-2273444-406269-2273457-407544,406.11117,ABC
40.77652765,-81.40300043,OH1P-2272306-406258-2272314-406328,404.3602,C
40.77653373,-81.40505134,OH1P-2271738-406253-2271740-406214,404.3616,B
40.77653616,-81.4005413,OHSECSRV-2272987-406270-2272942-406282,410.172,ABC
40.77653662,-81.39987273,OHSECSRV-2273172-406272-2273224-406313,410.1608,ABC
40.77657002,-81.4028164,OHSEC1P-2272357-406274-2272298-406274,407.6899,C
40.77657002,-81.4028164,OHSECSRV-2272357-406274-2272369-406294,410.1744,ABC
40.77657142,-81.4030296,OHSEC1P-2272298-406274-2272298-406355,407.69,C
40.77657142,-81.4030296,OHSECSRV-2272298-406274-2272209-406299,410.1604,ABC
40.77657142,-81.4030296,OHSECSRV-2272298-406274-2272249-406298,410.1746,ABC
40.77657142,-81.4030296,OHSECSRV-2272298-406274-2272289-406297,410.1745,ABC
40.7765875,-81.40165355,OHSECSRV-2272679-406285-2272637-406305,410.1639,ABC
40.77658993,-81.40555159,OH3P-2271599-406272-2271601-406211,406.11103,ABC
40.77660514,-81.40425456,OHSECSRV-2271958-406282-2271986-406309,410.1681,ABC
40.77660614,-81.40391353,OHSECSRV-2272053-406283-2272079-406303,410.1684,ABC
40.77661055,-81.40505073,OH1P-2271738-406281-2271724-406361,404.3624,B
40.77661704,-81.40053722,OHSECSRV-2272988-406299-2272942-406282,410.1719,ABC
40.7766294,-81.40291625,OHSECSRV-2272329-406295-2272357-406274,410.1603,ABC
40.77664441,-81.40180204,OHSEC1P-2272637-406305-2272569-406311,407.6819,B
40.77664441,-81.40180204,OHSECSRV-2272637-406305-2272619-406286,410.1632,ABC
40.77664463,-81.39952974,OH1P-2273267-406313-2273269-406440,404.3605,C
40.7766461,-81.39968309,OHSEC1P-2273224-406313-2273220-406340,407.6802,C
40.77666418,-81.40204706,OHSEC1P-2272569-406311-2272571-406368,407.682,B
40.77666418,-81.40204706,OHSECSRV-2272569-406311-2272499-406290,410.1637,ABC
40.77666418,-81.40204706,OHSECSRV-2272569-406311-2272539-406289,410.1634,ABC
40.77666418,-81.40204706,OHSECSRV-2272569-406311-2272579-406288,410.1635,ABC
40.77667603,-81.4039996,OH1P-2272029-406309-2272024-406264,404.3617,A
40.7766775,-81.40415296,OHSEC1P-2271986-406309-2271985-406363,407.6857,A
40.77669342,-81.40484637,OHSECSRV-2271794-406312-2271770-406335,410.1661,ABC
40.77669791,-81.40053314,OHSECSRV-2272988-406329-2272942-406282,410.1718,ABC
40.77670847,-81.39943714,OHSEC1P-2273292-406336-2273296-406249,407.6805,C
40.77670847,-81.39943714,OHSECSRV-2273292-406336-2273324-406310,410.1611,ABC
40.77671333,-81.40080089,OH1P-2272914-406333-2272913-406241,404.3632,A
40.77671479,-81.40095425,OHSEC1P-2272872-406333-2272871-406372,407.6883,A
40.77671479,-81.40095425,OHSECSRV-2272872-406333-2272791-406284,410.1724,ABC
40.77671479,-81.40095425,OHSECSRV-2272872-406333-2272836-406283,410.1723,ABC
40.77671479,-81.40095425,OHSECSRV-2272872-406333-2272881-406281,410.1722,ABC
40.77671548,-81.40281498,OHSEC1P-2272356-406327-2272357-406274,407.6898,C
40.77671752,-81.40181292,OHSEC1P-2272634-406331-2272637-406305,407.6818,B
40.77671817,-81.40196628,OH1P-2272591-406331-2272595-406494,404.3619,B
40.77671837,-81.4029683,OH1P-2272314-406328-2272313-406477,404.3635,C
40.77672059,-81.39969591,OHSEC1P-2273220-406340-2273292-406336,407.6801,C
40.77673188,-81.40269426,OHSECSRV-2272390-406333-2272356-406327,410.1743,ABC
40.77675722,-81.40493194,OHSEC1P-2271770-406335-2271702-406341,407.6839,B
40.77675722,-81.40493194,OHSECSRV-2271770-406335-2271793-406272,410.1657,ABC
40.77677698,-81.40517697,OHSEC1P-2271702-406341-2271704-406398,407.684,B
40.77677698,-81.40517697,OHSECSRV-2271702-406341-2271682-406315,410.1658,ABC
40.77680309,-81.40484085,OHSECSRV-2271795-406352-2271767-406362,410.1656,ABC
40.77680366,-81.39931358,OHSECSRV-2273326-406371-2273292-406336,410.1609,ABC
40.77680922,-81.40171464,OHSECSRV-2272661-406365-2272634-406331,410.1631,ABC
40.7768207,-81.40203925,OHSECSRV-2272571-406368-2272541-406369,410.1633,ABC
40.7768207,-81.40203925,OHSECSRV-2272571-406368-2272542-406409,410.163,ABC
40.77682117,-81.40095518,OHSEC1P-2272871-406372-2272934-406373,407.6884,A
